ID,Province_State,Country_Region,Last_Update,latitute,longitude,Confirmed,Suspected,Recovered,Deaths,ConfnSusp,Collected
1,Hubei,Mainland China,1/25/2020  12am,30.97564,112.2707,729.0,,32.0,39.0,729,1579989173.272113
2,Guangdong,Mainland China,1/25/2020  12am,23.33841,113.422,78.0,,2.0,,78,1579989173.272113
3,Zhejiang,Mainland China,1/25/2020  12am,29.18251,120.0985,62.0,,1.0,,62,1579989173.272113
4,Chongqing,Mainland China,1/25/2020  12am,30.05718,107.874,57.0,,,,57,1579989173.272113
5,Hunan,Mainland China,1/25/2020  12am,27.61041,111.7088,43.0,,,,43,1579989173.272113
6,Anhui,Mainland China,1/25/2020  12am,31.82571,117.2264,39.0,4.0,,,43,1579989173.272113
7,Beijing,Mainland China,1/25/2020  12am,40.18238,116.4142,36.0,,1.0,,36,1579989173.272113
8,Shanghai,Mainland China,1/25/2020  12am,31.20327,121.4554,33.0,22.0,1.0,,55,1579989173.272113
9,Henan,Mainland China,1/25/2020  12am,33.88202,113.614,32.0,1.0,,,33,1579989173.272113
10,Sichuan,Mainland China,1/25/2020  12am,30.61714,102.7103,28.0,4.0,,,32,1579989173.272113
11,Guangxi,Mainland China,1/25/2020  12am,23.82908,108.7881,23.0,,,,23,1579989173.272113
12,Shandong,Mainland China,1/25/2020  12am,36.34377,118.1529,21.0,,,,21,1579989173.272113
13,Jiangxi,Mainland China,1/25/2020  12am,27.61401,115.7221,18.0,,,,18,1579989173.272113
14,Jiangsu,Mainland China,1/25/2020  12am,32.97027,119.464,18.0,,1.0,,18,1579989173.272113
15,Hainan,Mainland China,1/25/2020  12am,19.19673,109.7455,17.0,,,,17,1579989173.272113
16,Liaoning,Mainland China,1/25/2020  12am,41.29284,122.6086,15.0,,,,15,1579989173.272113
17,Fujian,Mainland China,1/25/2020  12am,26.07783,117.9895,10.0,4.0,,,14,1579989173.272113
18,Heilongjiang,Mainland China,1/25/2020  12am,47.862,127.7622,9.0,,,1.0,9,1579989173.272113
19,Tianjin,Mainland China,1/25/2020  12am,39.29362,117.333,8.0,,,,8,1579989173.272113
20,Hebei,Mainland China,1/25/2020  12am,38.0428,114.5149,8.0,,,1.0,8,1579989173.272113
21,Shanxi,Mainland China,1/25/2020  12am,37.57769,112.2922,6.0,,,,6,1579989173.272113
22,Yunnan,Mainland China,1/25/2020  12am,24.97411,101.4868,5.0,,,,5,1579989173.272113
23,Hong Kong,Hong Kong,1/25/2020  12am,22.3193,114.1694,5.0,36.0,,,41,1579989173.272113
24,Shaanxi,Mainland China,1/25/2020  12am,35.19165,108.8701,5.0,,,,5,1579989173.272113
37,,Thailand,1/25/2020  12am,13.7563,100.5018,5.0,,,,5,1579989173.272113
25,Guizhou,Mainland China,1/25/2020  12am,26.81536,106.8748,4.0,,,,4,1579989173.272113
26,Jilin,Mainland China,1/25/2020  12am,43.66657,126.1917,4.0,,,,4,1579989173.272113
27,Gansu,Mainland China,1/25/2020  12am,36.0611,103.8343,4.0,,,,4,1579989173.272113
28,Ningxia,Mainland China,1/25/2020  12am,37.26923,106.1655,3.0,1.0,,,4,1579989173.272113
29,Taiwan,Taiwan,1/25/2020  12am,23.6978,120.9605,3.0,,,,3,1579989173.272113
30,Xinjiang,Mainland China,1/25/2020  12am,41.11981,85.17822,3.0,,,,3,1579989173.272113
39,,Singapore ,1/25/2020  12am,1.3521,103.8198,3.0,,,,3,1579989173.272113
41,,France,1/25/2020  12am,46.2276,2.2137,3.0,,,,3,1579989173.272113
44,,Malaysia ,1/25/2020  12am,4.2105,101.9758,3.0,,,,3,1579989173.272113
31,Macau,Macau,1/25/2020  12am,22.1987,113.5439,2.0,,,,2,1579989173.272113
32,Inner Mongolia,Mainland China,1/25/2020  12am,44.09448,113.9456,2.0,,,,2,1579989173.272113
36,,Japan,1/25/2020  12am,35.6762,139.6503,2.0,,,,2,1579989173.272113
38,,South Korea,1/25/2020  12am,37.5665,126.978,2.0,,,,2,1579989173.272113
40,,Vietnam,1/25/2020  12am,21.0278,105.8342,2.0,,,,2,1579989173.272113
34,Washington,US,1/25/2020  12am,47.6062,-122.3321,1.0,,,,1,1579989173.272113
35,Illinois,US,1/25/2020  12am,41.8781,-87.6298,1.0,,,,1,1579989173.272113
42,,Australia,1/25/2020  12am,-25.2744,133.7751,1.0,,,,1,1579989173.272113
43,,Nepal,1/25/2020  12am,28.3949,84.124,1.0,,,,1,1579989173.272113
33,Qinghai,Mainland China,1/25/2020  12am,35.65945,96.02564,,1.0,,,1,1579989173.272113
