"country","location_id","location","latitude","longitude","confirmedcases_10-01-2020","deaths_10-01-2020","confirmedcases_11-01-2020","deaths_11-01-2020","confirmedcases_12-01-2020","deaths_12-01-2020","confirmedcases_13-01-2020","deaths_13-01-2020","confirmedcases_14-01-2020","deaths_14-01-2020","confirmedcases_15-01-2020","deaths_15-01-2020","confirmedcases_16-01-2020","deaths_16-01-2020","confirmedcases_17-01-2020","deaths_17-01-2020","confirmedcases_18-01-2020","deaths_18-01-2020","confirmedcases_19-01-2020","deaths_19-01-2020","confirmedcases_20-01-2020","deaths_20-01-2020","confirmedcases_21-01-2020","deaths_21-01-2020","confirmedcases_22-01-2020","deaths_22-01-2020","confirmedcases_23-01-2020","deaths_23-01-2020","confirmedcases_24-01-2020","deaths_24-01-2020","confirmedcases_25-01-2020","deaths_25-01-2020"
"China","911","Hubei","30.657","114.093","44","1","44","1","44","1","44","1","44","1","44","2","45","2","62","2","121","2","198","3","270","3","375","9","444","17","549","24","729","39","730","39"
"China","903","Guangdong","23.115","113.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","14","0","26","0","26","0","53","0","53","0","78","0"
"China","930","Zhejiang","29.138","119.894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","10","0","43","0","43","0","62","0"
"China","899","Beijing","39.906217","116.3912757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","0","10","0","14","0","26","0","36","0","41","0"
"China","900","Chongqing","29.5364","106.5646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","6","0","9","0","27","0","57","0"
"China","912","Hunan","27.8549","111.8326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","24","0","24","0","43","0"
"China","904","Guangxi","23.831","108.831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","13","0","23","0","23","0"
"China","922","Shanghai","31.227","121.498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","9","0","16","0","20","0","20","0","33","0"
"China","914","Jiangxi","27.999","115.598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","7","0","18","0","18","0"
"China","898","Anhui","32.106","117.081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","15","0","15","0","39","0"
"China","921","Shandong","36.187","118.444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","6","0","15","0","27","0"
"China","924","Sichuan","30.65","102.881","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","0","8","0","15","0","28","0"
"China","901","Fujian","26.215","118.389","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","10","0","18","0"
"China","909","Henan","34.194","113.302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","5","0","9","0","32","0"
"China","913","Jiangsu","33.022","120.081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","9","0","18","0"
"China","906","Hainan","19.179","109.534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","8","0","8","0","19","0"
"China","926","Tianjin","39.124","117.191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","5","0","8","0","10","0"
"China","920","Shaanxi","34.827","109.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","15","0"
"Hong-Kong","910","Hong-Kong","22.3082","114.1809","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","5","0","5","0"
"Thailand","2853","Bangkok","13.726","100.536","0","0","0","0","0","0","1","0","1","0","1","0","1","0","2","0","2","0","2","0","2","0","2","0","4","0","4","0","5","0","5","0"
"China","908","Heilongjiang","47.798","128.320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","4","1","9","1"
"China","916","Liaoning","40.9975197","122.9955469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","4","0","16","0"
"China","905","Guizhou","26.986","106.699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","3","0","4","0"
"China","915","Jilin","43.620","126.145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","4","0"
"Singapore","2660","Singapore","1.3025","103.8373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","3","0"
"Australia","470","New South Wales","-32.33","146.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Malaysia","1891","Johor","2.1801","103.4872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
